name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
PRDX2,P32119,0.8613702789147074,0.5840630822309478,0.7050952022643437,0.89,0.864,0.982,FALSE,FALSE,FALSE,FALSE,0.0555,0.177,0.121,-0.0774,-0.0218,0.0992
PREP,P48147,0.705975720803321,0.5563356468757932,0.35002988624545944,0.8,0.857,0.967,FALSE,FALSE,FALSE,FALSE,0.0988,-0.156,-0.254,0.019,0.118,-0.137
PRKDC,P78527,0.9691679686369643,0.33968819159857033,0.3569828263007166,0.92,0.745,0.968,FALSE,FALSE,FALSE,FALSE,-0.0132,-0.342,-0.329,0.118,0.105,-0.224
PRMT1,Q99873,0.9495516326838851,0.8118532780954927,0.7637253633535331,0.915,0.907,0.984,FALSE,FALSE,FALSE,FALSE,0.0195,-0.0737,-0.0932,0.018,0.0376,-0.0556
PRPF40A,O75400,0.9813844166002947,0.8939413619686839,0.8755799242839362,0.922,0.916,0.985,FALSE,FALSE,FALSE,FALSE,-0.00732,0.0418,0.0492,-0.0115,-0.0188,0.0303
PRPF6,O94906,0.8928671589748862,0.622600724246023,0.5349279118090109,0.9,0.874,0.978,FALSE,FALSE,FALSE,FALSE,0.0274,-0.101,-0.129,0.0246,0.052,-0.0767
PRPF8,Q6P2Q9,0.6464390960038056,0.2655397718193503,0.4793159170667626,0.738,0.663,0.975,FALSE,FALSE,FALSE,FALSE,-0.176,-0.451,-0.275,0.209,0.0332,-0.242
PRRC2C,Q9Y520,0.5792135296802622,0.12324672278507477,0.2648343137007718,0.637,0.338,0.957,FALSE,FALSE,FALSE,FALSE,0.152,0.472,0.321,-0.208,-0.0563,0.264
PSAT1,Q9Y617,0.7930389785931373,0.8399587898655366,0.9514151697612211,0.86,0.91,0.986,FALSE,FALSE,FALSE,FALSE,-0.0963,-0.074,0.0223,0.0568,-0.0395,-0.0172
PSMA3,P25788,0.9184761753409934,0.8385218392966636,0.9189416514703651,0.908,0.91,0.986,FALSE,FALSE,FALSE,FALSE,0.0162,0.0323,0.0161,-0.0162,3.1e-5,0.0162
PSMA4,P25789,0.15796819867775583,0.5545655374968076,0.35322335514125885,0.00235,0.856,0.968,FALSE,FALSE,FALSE,FALSE,0.342,0.131,-0.211,-0.158,0.185,-0.0268
PSMB6,P28072,0.49868361224484803,0.5201014550345708,0.21410327114742395,0.467,0.845,0.947,FALSE,FALSE,FALSE,FALSE,0.249,-0.236,-0.484,-0.00427,0.244,-0.24
PSMC3,P17980,0.9775380652362234,0.3276167327430618,0.3158369305157939,0.921,0.734,0.964,FALSE,FALSE,FALSE,FALSE,-0.00444,0.162,0.167,-0.0527,-0.0571,0.11
PSMD11,O00231,0.6939124478682959,0.34269506774797076,0.20230891424482148,0.789,0.748,0.944,FALSE,FALSE,FALSE,FALSE,-0.0751,0.189,0.264,-0.0378,-0.113,0.151
PSMD12,O00232,0.6941346478031021,0.37290858003148597,0.22132107394360978,0.789,0.771,0.949,FALSE,FALSE,FALSE,FALSE,-0.0626,0.147,0.209,-0.0281,-0.0907,0.119
PSMD2,Q13200,0.7446042821897043,0.8731799947448284,0.8669658854653178,0.83,0.914,0.985,FALSE,FALSE,FALSE,FALSE,-0.0602,-0.0294,0.0308,0.0298,-0.0303,4.85e-4
PSMD3,O43242,0.6902819494319063,0.28729250585906246,0.4778184833162861,0.785,0.692,0.975,FALSE,FALSE,FALSE,FALSE,0.137,0.385,0.248,-0.174,-0.0371,0.211
PSME2,Q9UL46,0.9172639263667438,0.8355013481312231,0.9170696727361957,0.907,0.91,0.986,FALSE,FALSE,FALSE,FALSE,0.0478,0.0957,0.0479,-0.0478,-3.76e-5,0.0479
PSME3,P61289,0.4845353255403496,0.6632637724649656,0.782135971505789,0.432,0.883,0.984,FALSE,FALSE,FALSE,FALSE,-0.212,-0.13,0.082,0.114,-0.0979,-0.016
PTPN6,P29350,0.70733246037788855,0.797667915044258,0.5335836053043981,0.801,0.905,0.978,FALSE,FALSE,FALSE,FALSE,0.0549,-0.0373,-0.0922,-0.00585,0.0491,-0.0432
PUF60,Q9UHX1,0.3331340922818859,0.4146751624559563,0.8632525973560405,0.152,0.798,0.985,FALSE,FALSE,FALSE,FALSE,-0.376,-0.313,0.0638,0.23,-0.147,-0.0829
PUS1,Q9Y606,0.8488797562109951,0.6908179014569419,0.5609284562170075,0.885,0.888,0.979,FALSE,FALSE,FALSE,FALSE,0.0438,-0.0921,-0.136,0.0161,0.0599,-0.076
PYCARD,Q9ULZ3,0.7863858507938457,0.916458782314258,0.7082323349547452,0.856,0.919,0.983,FALSE,FALSE,FALSE,FALSE,-0.0993,0.0383,0.138,0.0203,-0.079,0.0586
PYGB,P11216,0.9830692215353958,0.8118869815003664,0.8282518040858005,0.922,0.907,0.985,FALSE,FALSE,FALSE,FALSE,0.00737,0.0829,0.0756,-0.0301,-0.0227,0.0528
PYGL,P06737,0.9001114824248029,0.6522907313699278,0.742940181068759,0.902,0.881,0.983,FALSE,FALSE,FALSE,FALSE,0.0374,0.136,0.0982,-0.0576,-0.0203,0.0779
RAB10,P61026,0.22846374401037486,0.5040196409535456,0.5442222343705516,0.022,0.839,0.978,FALSE,FALSE,FALSE,FALSE,0.224,0.118,-0.106,-0.114,0.11,0.00377
RAB11B,Q15907,0.6177767718121419,0.21808043819269046,0.10951664061900149,0.699,0.584,0.889,FALSE,FALSE,FALSE,FALSE,0.124,-0.329,-0.453,0.0681,0.192,-0.261
RAB14,P61106,0.6206385806234924,0.8372427442787937,0.7686113004383354,0.703,0.91,0.984,FALSE,FALSE,FALSE,FALSE,0.114,0.0468,-0.0671,-0.0535,0.0603,-0.00679
RAB1A,P62820,0.7240977394557451,0.3814477847129839,0.23962937647274357,0.815,0.777,0.953,FALSE,FALSE,FALSE,FALSE,0.0631,-0.162,-0.225,0.033,0.0961,-0.129
RAB3C,Q96E17,0.4978398137112757,0.6292313382325354,0.2679808689157225,0.465,0.876,0.958,FALSE,FALSE,FALSE,FALSE,-0.13,0.0914,0.221,0.0128,-0.117,0.104
RAB7A,P51149,0.4483646121883964,0.9752145439178574,0.46558932411014425,0.348,0.924,0.975,FALSE,FALSE,FALSE,FALSE,-0.124,-0.00494,0.119,0.043,-0.0812,0.0381
RAC2,P15153,0.8845743033096569,0.8640439145671588,0.7526347497384638,0.898,0.913,0.983,FALSE,FALSE,FALSE,FALSE,0.0241,-0.0285,-0.0526,0.00145,0.0256,-0.027
RAD23B,P54727,0.5592339595860897,0.6955058236124088,0.3456015188035583,0.6,0.889,0.967,FALSE,FALSE,FALSE,FALSE,-0.189,0.125,0.314,0.0212,-0.167,0.146
RANGAP1,P46060,0.9037997866273453,0.8347514800273773,0.9297970487748272,0.904,0.91,0.986,FALSE,FALSE,FALSE,FALSE,-0.0743,-0.128,-0.0542,0.0676,-0.00672,-0.0609
RARS,P54136,0.713528017195031,0.38015124809283457,0.5915838458317197,0.806,0.776,0.98,FALSE,FALSE,FALSE,FALSE,-0.0711,-0.176,-0.105,0.0824,0.0112,-0.0936
RHOG,P84095,0.6603781651351939,0.37337679281848546,0.6319559343720214,0.754,0.772,0.981,FALSE,FALSE,FALSE,FALSE,0.0745,0.156,0.0814,-0.0768,-0.00229,0.0791
RNH1,P13489,0.8266531800015041,0.28872718372093376,0.38348660766317105,0.876,0.693,0.97,FALSE,FALSE,FALSE,FALSE,0.0478,0.245,0.198,-0.0977,-0.0499,0.148
RPL10,P27635,0.7627328941448136,0.6947578623451904,0.9265180776384829,0.842,0.889,0.986,FALSE,FALSE,FALSE,FALSE,-0.0574,-0.0748,-0.0175,0.0441,-0.0133,-0.0308
RPL13,P26373,0.9083828181691054,0.41584239512611426,0.47858526854512745,0.905,0.799,0.975,FALSE,FALSE,FALSE,FALSE,0.035,0.256,0.221,-0.097,-0.062,0.159
RPL18,Q07020,0.969668397979991,0.7178496436407811,0.6902610394733153,0.92,0.893,0.982,FALSE,FALSE,FALSE,FALSE,-0.00688,0.0658,0.0727,-0.0196,-0.0265,0.0461
RPL19,P84098,0.8119810603268801,0.13193595473846761,0.18271914091699587,0.869,0.359,0.937,FALSE,FALSE,FALSE,FALSE,0.0825,0.59,0.507,-0.224,-0.142,0.366
RPL30,P62888,0.7774625044776323,0.618881218392173,0.826161243314899,0.851,0.873,0.985,FALSE,FALSE,FALSE,FALSE,0.0442,0.0785,0.0343,-0.0409,0.00331,0.0376
RPL31,P62899,0.7200623594248811,0.255376079988679,0.40770531047153313,0.812,0.649,0.972,FALSE,FALSE,FALSE,FALSE,0.181,0.612,0.431,-0.264,-0.0833,0.348
RPL36,Q9Y3U8,0.7634918643095772,0.5814994748229565,0.7972387208177326,0.843,0.864,0.984,FALSE,FALSE,FALSE,FALSE,0.102,0.19,0.0872,-0.0973,0.00502,0.0923
RPL36AL,Q969Q0,0.7705037944535191,0.23719781165082,0.15936450835948238,0.847,0.619,0.927,FALSE,FALSE,FALSE,FALSE,-0.0678,0.295,0.363,-0.0757,-0.144,0.219
RPL6,Q02878,0.9742260999624968,0.5383831204219411,0.518537362005081,0.921,0.851,0.977,FALSE,FALSE,FALSE,FALSE,-0.0197,0.383,0.403,-0.121,-0.141,0.262
RPN1,P04843,0.46332462378368233,0.2787725032574798,0.1001750701686207,0.378,0.681,0.876,FALSE,FALSE,FALSE,FALSE,0.125,-0.191,-0.317,0.0221,0.147,-0.169
RPN2,P04844,0.9086964871788666,0.6676872291573812,0.751178458969965,0.905,0.884,0.983,FALSE,FALSE,FALSE,FALSE,0.0889,0.336,0.247,-0.142,-0.0527,0.194
RPS16,P62249,0.8580107795120829,0.9153876762510929,0.9419009487249697,0.888,0.918,0.986,FALSE,FALSE,FALSE,FALSE,0.0382,0.0227,-0.0155,-0.0203,0.0179,0.00237
RPS19,P39019,0.7163379489583808,0.21883786819171344,0.3548474856494093,0.809,0.586,0.968,FALSE,FALSE,FALSE,FALSE,0.121,0.441,0.32,-0.187,-0.0664,0.254
RPS28,P62857,0.7455732128952985,0.12907940305542764,0.08293320595718212,0.831,0.352,0.845,FALSE,FALSE,FALSE,FALSE,-0.0609,0.322,0.382,-0.0869,-0.148,0.235
RPS3,P23396,0.7975614034651434,0.5460630706965219,0.7220702894156867,0.862,0.853,0.983,FALSE,FALSE,FALSE,FALSE,-0.0465,-0.111,-0.0646,0.0525,0.00606,-0.0586
RPS3A,P61247,0.8583980249374876,0.9161732232800253,0.9415064584876247,0.889,0.919,0.986,FALSE,FALSE,FALSE,FALSE,0.0431,0.0254,-0.0177,-0.0228,0.0203,0.00256
RPS4Y1,P22090,0.8929336929332783,0.6924184688010215,0.5990175893653971,0.9,0.888,0.98,FALSE,FALSE,FALSE,FALSE,0.0201,-0.0595,-0.0797,0.0131,0.0333,-0.0464
RPS5,P46782,0.9567091891633237,0.5666497470846883,0.5324365948659961,0.917,0.86,0.978,FALSE,FALSE,FALSE,FALSE,-0.0159,0.17,0.186,-0.0515,-0.0674,0.119
RPS6,P62753,0.9450692639553151,0.9544042777509694,0.8997333526005382,0.914,0.922,0.986,FALSE,FALSE,FALSE,FALSE,-0.0129,0.0107,0.0236,7.32e-4,-0.0122,0.0114
RPS8,P62241,0.858229456917728,0.8233265897056101,0.6896008996326778,0.889,0.908,0.982,FALSE,FALSE,FALSE,FALSE,0.0915,-0.114,-0.206,0.00766,0.0991,-0.107
RRBP1,Q9P2E9,0.7795398118447832,0.655283222205324,0.8651376752619245,0.852,0.881,0.985,FALSE,FALSE,FALSE,FALSE,-0.0666,-0.107,-0.0403,0.0578,-0.00876,-0.0491
RRM1,P23921,0.34534710168756877,0.6096490345558089,0.640709915134632,0.171,0.871,0.981,FALSE,FALSE,FALSE,FALSE,-0.295,-0.154,0.141,0.15,-0.145,-0.00452
RRM2,P31350,0.9245588506652141,0.8179976011465917,0.891903130368077,0.909,0.908,0.986,FALSE,FALSE,FALSE,FALSE,-0.0159,-0.0387,-0.0228,0.0182,0.00231,-0.0205
RUVBL2,Q9Y230,0.9708988378694461,0.9246634475147095,0.8957986336398788,0.92,0.919,0.986,FALSE,FALSE,FALSE,FALSE,0.00571,-0.0148,-0.0205,0.00303,0.00874,-0.0118
SEMG1,P04279,0.4893812400918446,0.13331366581379783,0.34553745754393267,0.444,0.362,0.967,FALSE,FALSE,FALSE,FALSE,1.25,2.99,1.74,-1.41,-0.164,1.58
SERPINB12,Q96P63,0.6631030962337541,0.15121079518134883,0.27419709397962566,0.757,0.414,0.959,FALSE,FALSE,FALSE,FALSE,0.415,1.51,1.1,-0.643,-0.228,0.872
SF1,Q15637,0.12221482340285121,0.729904525345234,0.19630943852275357,5e-4,0.895,0.942,FALSE,FALSE,FALSE,FALSE,-0.281,-0.0555,0.226,0.112,-0.169,0.0568
SF3B1,O75533,0.5042735634794158,0.5188620383217043,0.9806305505957305,0.48,0.844,0.987,FALSE,FALSE,FALSE,FALSE,-0.169,-0.163,0.00601,0.111,-0.0584,-0.0524
SF3B2,Q13435,0.9030861337425966,0.16797160758932278,0.19828177951171144,0.903,0.465,0.943,FALSE,FALSE,FALSE,FALSE,0.0301,0.378,0.348,-0.136,-0.106,0.242
SF3B3,Q15393,0.9722170152111314,0.9191250745230738,0.9467843535467728,0.92,0.919,0.986,FALSE,FALSE,FALSE,FALSE,0.00605,0.0177,0.0116,-0.00791,-0.00185,0.00976
SFPQ,P23246,0.8258643974051804,0.7269727461528517,0.5738067177635651,0.875,0.894,0.979,FALSE,FALSE,FALSE,FALSE,-0.0444,0.0707,0.115,-0.00878,-0.0532,0.062
SH3BGRL3,Q9H299,0.9061802658958691,0.6498273006212456,0.5706066801797333,0.904,0.88,0.979,FALSE,FALSE,FALSE,FALSE,-0.0468,0.182,0.229,-0.0451,-0.0919,0.137
SLC25A5,P05141,0.5586910433231783,0.1331119612115547,0.05975182584000297,0.599,0.361,0.768,FALSE,FALSE,FALSE,FALSE,0.228,-0.652,-0.88,0.141,0.37,-0.511
SMC2,O95347,0.9814016081304227,0.8534774367755699,0.8717141391397352,0.922,0.912,0.985,FALSE,FALSE,FALSE,FALSE,0.00358,0.0284,0.0249,-0.0107,-0.00709,0.0178
SMC3,Q9UQE7,0.43535238956160094,0.44017231914655613,0.15195654805912512,0.324,0.812,0.923,FALSE,FALSE,FALSE,FALSE,-0.145,0.144,0.289,5.4e-4,-0.145,0.144
SMC4,Q9NTJ3,0.8664925319624295,0.48028382950808396,0.5839136056681743,0.892,0.83,0.979,FALSE,FALSE,FALSE,FALSE,-0.0423,-0.182,-0.14,0.0747,0.0325,-0.107
SND1,Q7KZF4,0.9957518091288619,0.987121650341227,0.9828744287744173,0.925,0.925,0.987,FALSE,FALSE,FALSE,FALSE,-8.97e-4,0.00272,0.00362,-6.08e-4,-0.0015,0.00211
SNRNP200,O75643,0.9197348193262367,0.3620922354479238,0.41117103119408116,0.908,0.763,0.972,FALSE,FALSE,FALSE,FALSE,-0.0291,-0.275,-0.246,0.101,0.0723,-0.174
SQRDL,Q9Y6N5,0.6998733667781134,0.3274835293291534,0.529341836386517,0.794,0.734,0.978,FALSE,FALSE,FALSE,FALSE,-0.059,-0.157,-0.0976,0.0719,0.0129,-0.0848
SRP68,Q9UHB9,0.5984796940384989,0.9090153764410931,0.6772628818446549,0.67,0.918,0.982,FALSE,FALSE,FALSE,FALSE,0.1,0.0214,-0.0786,-0.0405,0.0595,-0.0191
SRRM2,Q9UQ35,0.7983571342541529,0.3807355151141611,0.5204166263265583,0.862,0.777,0.977,FALSE,FALSE,FALSE,FALSE,0.0625,0.223,0.16,-0.095,-0.0325,0.128
SRRT,Q9BXP5,0.4448174242002436,0.667756368910257,0.2546792283750191,0.341,0.884,0.956,FALSE,FALSE,FALSE,FALSE,-0.119,0.0652,0.184,0.0178,-0.101,0.083
SRSF1,Q07955,0.9656681484441356,0.8795685429629079,0.8458959098038765,0.919,0.915,0.985,FALSE,FALSE,FALSE,FALSE,-0.00646,0.0228,0.0292,-0.00543,-0.0119,0.0173
SRSF5,Q13243,0.3492432862048498,0.8246918148329859,0.26105412266484074,0.177,0.908,0.957,FALSE,FALSE,FALSE,FALSE,-0.152,0.0345,0.187,0.0393,-0.113,0.0737
SRSF6,Q13247,0.9854657161614166,0.18578196061036728,0.18123114911249524,0.923,0.512,0.937,FALSE,FALSE,FALSE,FALSE,-0.00265,0.212,0.215,-0.0697,-0.0724,0.142
STT3A,P46977,0.5124566835438994,0.03697959026479441,0.016551533770546103,0.5,0.0391,0.202,FALSE,FALSE,FALSE,FALSE,0.225,-0.895,-1.12,0.223,0.448,-0.671
SUPT16H,Q9Y5B9,0.9987815096874828,0.5852460921622088,0.5842450461642208,0.925,0.865,0.979,FALSE,FALSE,FALSE,FALSE,3.95e-4,-0.143,-0.144,0.0477,0.048,-0.0957
SYNCRIP,O60506,0.3985713096595536,0.9714411129317468,0.4167663605490733,0.265,0.924,0.972,FALSE,FALSE,FALSE,FALSE,-0.202,-0.00823,0.193,0.07,-0.132,0.0617
SYNGR2,O43760,0.37894304418065416,0.016877572612272754,0.006344050528425403,0.231,0.00258,0.0146,FALSE,FALSE,FALSE,FALSE,0.188,-0.679,-0.867,0.164,0.351,-0.515
TARS,P26639,0.8876446790698085,0.49145733100709,0.5789133929652951,0.899,0.834,0.979,FALSE,FALSE,FALSE,FALSE,-0.038,-0.19,-0.152,0.0759,0.0379,-0.114
TBCA,O75347,0.9395803724823655,0.5746522638413627,0.6251010362645202,0.913,0.862,0.981,FALSE,FALSE,FALSE,FALSE,0.0458,0.345,0.299,-0.13,-0.0844,0.215
TCEA1,P23193,0.7730155348617851,0.5163371833369428,0.7104209026563504,0.848,0.844,0.983,FALSE,FALSE,FALSE,FALSE,0.0536,0.123,0.0692,-0.0588,-0.0052,0.064
TCOF1,Q13428,0.9815757221811776,0.4665985381864966,0.4797318990628803,0.922,0.824,0.975,FALSE,FALSE,FALSE,FALSE,0.0116,0.376,0.365,-0.129,-0.118,0.247
TCP1,P17987,0.8605608575481862,0.97176333991616215,0.8883426775710961,0.889,0.924,0.986,FALSE,FALSE,FALSE,FALSE,-0.0335,-0.00673,0.0267,0.0134,-0.0201,0.00666
TFRC,P02786,0.9456544909251681,0.7004995190833013,0.750645285574463,0.914,0.89,0.983,FALSE,FALSE,FALSE,FALSE,0.0276,0.157,0.129,-0.0615,-0.0339,0.0954
TIMM44,O43615,0.6760194874738925,0.043247185549109265,0.025611900328892937,0.771,0.0574,0.409,FALSE,FALSE,FALSE,FALSE,0.156,-0.94,-1.1,0.261,0.417,-0.678
TIMM50,Q3ZCQ8,0.5540720140493225,0.3368849715727637,0.1500642145094393,0.59,0.743,0.922,FALSE,FALSE,FALSE,FALSE,0.117,-0.195,-0.312,0.0262,0.143,-0.169
TKT,P29401,0.6308509766961028,0.8331186406597545,0.49609556142180733,0.718,0.909,0.976,FALSE,FALSE,FALSE,FALSE,-0.126,0.0547,0.181,0.0238,-0.102,0.0785
TLN1,Q9Y490,0.8855691842385434,0.4801532137083031,0.4024984974889677,0.898,0.83,0.971,FALSE,FALSE,FALSE,FALSE,-0.0249,0.125,0.15,-0.0334,-0.0583,0.0917
TMPPE,Q6ZT21,0.38544003245171715,0.05042225278257119,0.01673163958059166,0.243,0.0785,0.207,FALSE,FALSE,FALSE,FALSE,0.247,-0.662,-0.909,0.139,0.385,-0.524
TMX1,Q9H3N1,0.12851926364881852,0.3621496975791129,0.03652436975580192,5.93e-4,0.763,0.585,FALSE,FALSE,FALSE,FALSE,0.364,-0.201,-0.564,-0.0543,0.309,-0.255
TPM2,P07951,0.7180936924824963,0.9749684584290319,0.6952871778187562,0.81,0.924,0.982,FALSE,FALSE,FALSE,FALSE,-0.295,0.0255,0.32,0.0898,-0.205,0.115
TPM3,P06753,0.9471068475510266,0.7324172244063284,0.7821195498298343,0.915,0.895,0.984,FALSE,FALSE,FALSE,FALSE,0.0504,0.261,0.211,-0.104,-0.0535,0.157
TPM3P4,A6NL28,0.9470292641586024,0.6814960543440731,0.6348997210078933,0.915,0.886,0.981,FALSE,FALSE,FALSE,FALSE,-0.0392,0.244,0.284,-0.0684,-0.108,0.176
TPR,P12270,0.7607481224328989,0.2296145701817714,0.1514873923452826,0.841,0.606,0.923,FALSE,FALSE,FALSE,FALSE,0.0611,-0.26,-0.321,0.0661,0.127,-0.193
TRAP1,Q12931,0.700191573696977,0.8674316765680461,0.8255869398667385,0.795,0.913,0.985,FALSE,FALSE,FALSE,FALSE,-0.18,-0.0775,0.102,0.0858,-0.0941,0.0083
TRIM28,Q13263,0.9415996361231994,0.5063944680205549,0.4639838718892627,0.913,0.84,0.975,FALSE,FALSE,FALSE,FALSE,-0.0252,0.234,0.259,-0.0696,-0.0949,0.165
TTLL12,Q14166,0.965185979653204,0.7576278455053209,0.7252130307914729,0.919,0.899,0.983,FALSE,FALSE,FALSE,FALSE,-0.0151,0.107,0.122,-0.0306,-0.0457,0.0763
TUBA1B,P68363,0.7936209040003338,0.5954467066432781,0.7830838645862733,0.86,0.867,0.984,FALSE,FALSE,FALSE,FALSE,-0.0411,-0.0844,-0.0433,0.0419,7.23e-4,-0.0426
TUBA4A,P68366,0.7846294053329324,0.48783881556374875,0.664963672783143,0.855,0.833,0.982,FALSE,FALSE,FALSE,FALSE,0.0518,0.134,0.0826,-0.0621,-0.0103,0.0723
TUBB2A,Q13885,0.9759033717616686,0.9577342634678867,0.9337074849386402,0.921,0.922,0.986,FALSE,FALSE,FALSE,FALSE,0.00563,-0.00988,-0.0155,0.00142,0.00705,-0.00846
TUBB4B,P68371,0.8861250228140767,0.9189007827544453,0.8068711669613291,0.898,0.919,0.984,FALSE,FALSE,FALSE,FALSE,-0.0317,0.0225,0.0542,0.00305,-0.0286,0.0255
TUFM,P49411,0.3999336608785519,0.8500504072834356,0.31383104794278266,0.267,0.911,0.964,FALSE,FALSE,FALSE,FALSE,-0.13,0.0282,0.159,0.034,-0.0963,0.0623
UBA1,P22314,0.6984048258829281,0.5231663993166751,0.7941205251361995,0.793,0.846,0.984,FALSE,FALSE,FALSE,FALSE,-0.0722,-0.121,-0.0484,0.0643,-0.00793,-0.0564
UBE2M,P61081,0.9765478283467965,0.8087405647280678,0.8314103311560948,0.921,0.906,0.985,FALSE,FALSE,FALSE,FALSE,0.00472,0.039,0.0342,-0.0146,-0.00984,0.0244
UBQLN2,Q9UHD9,0.9758710575785237,0.5596299804800444,0.5791308244412465,0.921,0.857,0.979,FALSE,FALSE,FALSE,FALSE,-0.00531,-0.104,-0.0989,0.0365,0.0312,-0.0677
UBTF,P17480,0.46187134472973157,0.6146351792770567,0.23949487472826497,0.374,0.872,0.953,FALSE,FALSE,FALSE,FALSE,-0.121,0.0816,0.203,0.0132,-0.108,0.0948
UHRF1,Q96T88,0.8807373800308085,0.49414993610221125,0.4116165629390544,0.896,0.835,0.972,FALSE,FALSE,FALSE,FALSE,-0.0294,0.137,0.167,-0.036,-0.0654,0.101
UMPS,P11172,0.7871470682803445,0.6340091160434225,0.4643408566833945,0.856,0.877,0.975,FALSE,FALSE,FALSE,FALSE,0.0561,-0.0996,-0.156,0.0145,0.0706,-0.0851
USP14,P54578,0.5207291461444954,0.1789872526822218,0.0734532398093774,0.519,0.495,0.82,FALSE,FALSE,FALSE,FALSE,-0.102,0.23,0.332,-0.0427,-0.145,0.187
USP5,P45974,0.7726032099443121,0.1857578884905316,0.2745861906032154,0.848,0.512,0.959,FALSE,FALSE,FALSE,FALSE,0.0815,0.408,0.327,-0.163,-0.0818,0.245
VARS,P26640,0.7422447441066342,0.36508705596331364,0.23643619180900943,0.828,0.766,0.952,FALSE,FALSE,FALSE,FALSE,0.057,-0.163,-0.22,0.0354,0.0924,-0.128
VCL,P18206,0.7495213583674796,0.7286363427362765,0.9775349562927728,0.833,0.895,0.987,FALSE,FALSE,FALSE,FALSE,0.0616,0.0671,0.00541,-0.0429,0.0187,0.0242
VCP,P55072,0.7519450496740347,0.6905019024143968,0.48348499763450253,0.835,0.888,0.976,FALSE,FALSE,FALSE,FALSE,-0.0698,0.0883,0.158,-0.00614,-0.076,0.0821
VIM,P08670,0.7794865348708659,0.5616635330028302,0.40105569654839524,0.852,0.858,0.971,FALSE,FALSE,FALSE,FALSE,0.105,-0.22,-0.325,0.0384,0.143,-0.182
VPS35,Q96QK1,0.21550640197096796,0.13669268163979845,0.7396663625869518,0.0173,0.369,0.983,FALSE,FALSE,FALSE,FALSE,-0.274,-0.342,-0.068,0.205,-0.0686,-0.137
WARS,P23381,0.9662337466556077,0.6823416554735491,0.6524333197232395,0.919,0.887,0.981,FALSE,FALSE,FALSE,FALSE,-0.0176,0.172,0.19,-0.0515,-0.0691,0.121
XRCC5,P13010,0.6531831648857821,0.9649898387403641,0.6842255942815205,0.746,0.923,0.982,FALSE,FALSE,FALSE,FALSE,-0.0982,-0.00949,0.0887,0.0359,-0.0623,0.0264
YARS,P54577,0.8029102813512143,0.9803246479965082,0.8218709404651696,0.865,0.924,0.985,FALSE,FALSE,FALSE,FALSE,0.0479,0.00472,-0.0432,-0.0175,0.0304,-0.0128
YWHAE,P62258,0.9141166489225843,0.8268209442801271,0.7448639784250053,0.906,0.909,0.983,FALSE,FALSE,FALSE,FALSE,-0.023,0.0467,0.0697,-0.00791,-0.0309,0.0388
YWHAH,Q04917,0.9945888271052257,0.5259993148439382,0.5301633586112345,0.925,0.847,0.978,FALSE,FALSE,FALSE,FALSE,0.00106,0.101,0.1,-0.0342,-0.0331,0.0673
YWHAQ,P27348,0.9387796218780651,0.3817749004223046,0.3461486794187503,0.913,0.778,0.967,FALSE,FALSE,FALSE,FALSE,-0.0128,0.152,0.165,-0.0464,-0.0592,0.106
YWHAZ,P63104,0.8244744598234001,0.22526369273817193,0.30289651220740293,0.875,0.598,0.962,FALSE,FALSE,FALSE,FALSE,0.0346,0.205,0.17,-0.0797,-0.0451,0.125
